username,role_title,job_title,vendor_role,final_family,final_canonical_role,family_score,family_second_score,family_margin,family_needs_review,role_score,role_second_score,role_margin,role_needs_review,contributing_fields,needs_review,final_level,final_specialization,role_title_candidates,job_title_candidates,vendor_role_candidates,errors
u1001,Software Engineer,Tester,Sr Android Developer,Software Engineering,Mobile Engineer,0.65,0.3333,0.3167,True,0.2833,0.1333,0.15,True,3,True,4,Android,"[{""canonical_role"": ""Full Stack Engineer"", ""confidence"": 0.4}, {""canonical_role"": ""Backend Engineer"", ""confidence"": 0.35}, {""canonical_role"": ""Frontend Engineer"", ""confidence"": 0.25}]","[{""canonical_role"": ""QA Engineer (Manual)"", ""confidence"": 0.5}, {""canonical_role"": ""QA Engineer (Automation)"", ""confidence"": 0.3}, {""canonical_role"": ""SDET (Software Development Engineer in Test)"", ""confidence"": 0.2}]","[{""canonical_role"": ""Mobile Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Frontend Engineer"", ""confidence"": 0.1}]",
u1002,Technical Program Manager,PM,TPM - Platform,Program / Product,Technical Program Manager (TPM),0.9333,0.0333,0.9,False,0.6833,0.2,0.4833,False,3,False,,Platform,"[{""canonical_role"": ""Technical Program Manager (TPM)"", ""confidence"": 0.95}]","[{""canonical_role"": ""Product Manager"", ""confidence"": 0.6}, {""canonical_role"": ""Technical Program Manager (TPM)"", ""confidence"": 0.25}, {""canonical_role"": ""Program Manager"", ""confidence"": 0.15}]","[{""canonical_role"": ""Technical Program Manager (TPM)"", ""confidence"": 0.85}, {""canonical_role"": ""Platform Engineer"", ""confidence"": 0.1}]",
u1003,Data Scientist,Machine Learning Engineer,ML Engineer (Applied),Data / ML,Machine Learning Engineer,0.95,0.0,0.95,False,0.6,0.35,0.25,False,3,False,,Applied Machine Learning,"[{""canonical_role"": ""Data Scientist"", ""confidence"": 0.85}, {""canonical_role"": ""Machine Learning Engineer"", ""confidence"": 0.1}]","[{""canonical_role"": ""Machine Learning Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Data Scientist"", ""confidence"": 0.1}]","[{""canonical_role"": ""Machine Learning Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Data Scientist"", ""confidence"": 0.1}]",
u1004,SRE,Systems Engineer,Site Reliability Engineer,Infrastructure / Systems,Site Reliability Engineer (SRE),0.9167,0.0333,0.8833,False,0.6333,0.2833,0.35,False,3,False,,,"[{""canonical_role"": ""Site Reliability Engineer (SRE)"", ""confidence"": 0.95}]","[{""canonical_role"": ""Systems Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Platform Engineer"", ""confidence"": 0.1}]","[{""canonical_role"": ""Site Reliability Engineer (SRE)"", ""confidence"": 0.95}]",
u1005,Backend Developer,Software Engineer,Java Backend Engineer,Software Engineering,Backend Engineer,0.9667,0.0,0.9667,False,0.6833,0.2,0.4833,False,3,False,,Java,"[{""canonical_role"": ""Backend Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Full Stack Engineer"", ""confidence"": 0.1}]","[{""canonical_role"": ""Full Stack Engineer"", ""confidence"": 0.4}, {""canonical_role"": ""Backend Engineer"", ""confidence"": 0.35}, {""canonical_role"": ""Frontend Engineer"", ""confidence"": 0.25}]","[{""canonical_role"": ""Backend Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Full Stack Engineer"", ""confidence"": 0.1}]",
u1006,QA Analyst,Quality Engineer,Automation Tester,Quality Engineering,QA Engineer (Automation),0.85,0.0833,0.7667,False,0.4,0.3167,0.0833,True,3,True,,Automation,"[{""canonical_role"": ""QA Engineer (Manual)"", ""confidence"": 0.6}, {""canonical_role"": ""Security Analyst"", ""confidence"": 0.25}, {""canonical_role"": ""Data Analyst"", ""confidence"": 0.15}]","[{""canonical_role"": ""QA Engineer (Automation)"", ""confidence"": 0.45}, {""canonical_role"": ""QA Engineer (Manual)"", ""confidence"": 0.35}, {""canonical_role"": ""SDET (Software Development Engineer in Test)"", ""confidence"": 0.2}]","[{""canonical_role"": ""QA Engineer (Automation)"", ""confidence"": 0.75}, {""canonical_role"": ""SDET (Software Development Engineer in Test)"", ""confidence"": 0.2}]",
u1007,Cloud Engineer,DevOps Engineer,AWS Infrastructure Engineer,Software Engineering,DevOps Engineer,0.55,0.4333,0.1167,True,0.3833,0.1667,0.2167,True,3,True,,AWS,"[{""canonical_role"": ""Cloud Infrastructure Engineer"", ""confidence"": 0.5}, {""canonical_role"": ""Platform Engineer"", ""confidence"": 0.3}, {""canonical_role"": ""DevOps Engineer"", ""confidence"": 0.2}]","[{""canonical_role"": ""DevOps Engineer"", ""confidence"": 0.95}]","[{""canonical_role"": ""Cloud Infrastructure Engineer"", ""confidence"": 0.7}, {""canonical_role"": ""Platform Engineer"", ""confidence"": 0.2}, {""canonical_role"": ""Systems Engineer"", ""confidence"": 0.1}]",
u1008,Product Manager,PM,Product Owner,Program / Product,Product Manager,0.9833,0.0,0.9833,False,0.7667,0.1333,0.6333,False,3,False,,,"[{""canonical_role"": ""Product Manager"", ""confidence"": 0.95}]","[{""canonical_role"": ""Product Manager"", ""confidence"": 0.6}, {""canonical_role"": ""Technical Program Manager (TPM)"", ""confidence"": 0.25}, {""canonical_role"": ""Program Manager"", ""confidence"": 0.15}]","[{""canonical_role"": ""Product Manager"", ""confidence"": 0.75}, {""canonical_role"": ""Technical Program Manager (TPM)"", ""confidence"": 0.15}, {""canonical_role"": ""Program Manager"", ""confidence"": 0.1}]",
u1009,Data Engineer,BI Developer,ETL Engineer,Data / ML,Data Engineer,0.9333,0.05,0.8833,False,0.6167,0.25,0.3667,False,3,False,,ETL,"[{""canonical_role"": ""Data Engineer"", ""confidence"": 0.95}]","[{""canonical_role"": ""BI Engineer"", ""confidence"": 0.75}, {""canonical_role"": ""Data Engineer"", ""confidence"": 0.15}, {""canonical_role"": ""Analytics Engineer"", ""confidence"": 0.1}]","[{""canonical_role"": ""Data Engineer"", ""confidence"": 0.75}, {""canonical_role"": ""Backend Engineer"", ""confidence"": 0.15}, {""canonical_role"": ""Analytics Engineer"", ""confidence"": 0.1}]",
u1010,Security Analyst,Information Security Analyst,Cybersecurity Engineer,Security,Security Analyst,0.9633,0.0,0.9633,False,0.6,0.3633,0.2367,False,3,False,,,"[{""canonical_role"": ""Security Analyst"", ""confidence"": 0.85}, {""canonical_role"": ""Security Engineer"", ""confidence"": 0.12}]","[{""canonical_role"": ""Security Analyst"", ""confidence"": 0.85}, {""canonical_role"": ""Security Engineer"", ""confidence"": 0.12}]","[{""canonical_role"": ""Security Engineer"", ""confidence"": 0.85}, {""canonical_role"": ""Security Analyst"", ""confidence"": 0.1}]",
